,Unnamed: 0,Last_updated,Brand,Product,Issue,Nb_affected_models,Alert / recall type,Category,Published by,Audience,Recall type,Identification number
3864,0,2018-06-22,NEWMAR,Motorhome recalled by NEWMAR,Vehicle - Electrical,7,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018329
3865,0,2018-06-26,WESTERN STAR,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Vehicle - Brakes,9,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2018283
3866,0,2018-07-03,KAWASAKI,A.T.V. recalled by KAWASAKI,Vehicle - Structure,3,Automotive recall,Vehicles - A.T.V.,Transport Canada,General public,automotive recall,2016356
3867,0,2018-07-03,THOMAS BUILT,School Bus recalled by DAIMLER TRUCK NORTH AMERICA,Vehicle - Fuel Supply,3,Automotive recall,Vehicles - School Bus,Transport Canada,General public,automotive recall,2018141
3868,0,2018-07-03,GMC,SUV recalled by GENERAL MOTORS,Vehicle - Airbag,1,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018279
3869,0,2018-07-05,FORD,Car recalled by FORD,Vehicle - Steering,7,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2015177
3870,0,2018-07-05,KIA,SUV recalled by KIA,Vehicle - Airbag,1,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2017657
3871,0,2018-07-05,INTERNATIONAL,Truck - Med. & H.D. recalled by NAVISTAR,Vehicle - Brakes,3,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2018231
3872,0,2018-07-06,DODGE,SUV recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Other,1,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018325
3873,0,2018-07-06,INTERNATIONAL,Truck - Med. & H.D. recalled by NAVISTAR,Vehicle - Fuel Supply,4,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2018334
3874,0,2018-07-06,BMW,SUV recalled by BMW,Vehicle - Lights And Instruments,1,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018340
3875,0,2018-07-06,AUDI,Car recalled by VOLKSWAGEN,Vehicle - Airbag,22,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018342
3876,0,2018-07-06,CADILLAC,Car recalled by GENERAL MOTORS,Vehicle - Powertrain,3,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018348
